,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000270800,284.3107383,2.301954476,0.422359705,5.450222758,5.03E-08,3.66E-05
ENSG00000170345,1194.083666,2.28863313,0.793974188,2.882503189,0.003945291,0.123416476
ENSG00000290971,12.22553382,2.272161242,0.909409186,2.498502629,0.012471922,0.224924115
ENSG00000275484,6.604133103,2.254628076,1.112850511,2.025993657,0.042765435,0.383058375
ENSG00000115594,207.4625211,2.247382339,0.515675435,4.358133402,1.31E-05,0.002699668
ENSG00000145936,14.02431833,2.246580854,0.757577071,2.965481585,NA,NA
ENSG00000206652,578.0382334,2.227060385,0.853573089,2.609103326,NA,NA
ENSG00000289754,338.0279089,2.218437155,0.7315852,3.032370195,0.002426414,0.091335444
ENSG00000118271,19.31928466,2.214529194,0.829170943,2.670775204,0.007567631,0.174951798
ENSG00000164761,70.87147639,2.212929493,0.413874291,5.34686387,8.95E-08,5.85E-05
ENSG00000090104,41.73790889,2.201987388,0.844968772,2.605998542,NA,NA
ENSG00000247081,488.783778,2.191482037,0.421583513,5.198215699,2.01E-07,0.000105826
ENSG00000184378,64.56141748,2.183978714,0.571256798,3.823111988,0.000131778,0.013939009
ENSG00000102359,17.85104736,2.173705058,0.976405551,2.22623177,0.025998661,0.314469354
ENSG00000247627,61.84257937,2.154288842,1.091102935,1.974413937,0.048334695,0.405172671
ENSG00000111341,95.29078383,2.151681493,0.617513822,3.484426445,0.000493193,0.034843717
ENSG00000261326,26.84570521,2.149398577,0.693831159,3.097869775,0.001949171,0.079537922
ENSG00000089356,72.93569072,2.133275838,0.586447843,3.637622448,0.000275166,0.02336323
ENSG00000279861,17.51407429,2.131680304,0.67426878,3.16146968,0.001569752,0.069769194
ENSG00000145386,17.11521903,2.131333589,0.582666662,3.657895207,0.000254295,0.022290838
ENSG00000204516,45.19190237,2.129909442,0.571281038,3.72830411,0.000192773,0.018341496
ENSG00000107796,314.702413,2.11645083,0.762731306,2.774831467,NA,NA
ENSG00000180113,19.57304801,2.111855989,0.794315375,2.658712213,0.007843993,0.178079341
ENSG00000100292,343.8691506,2.111559845,0.445453932,4.740242919,2.13E-06,0.000709069
ENSG00000132000,33.84204891,2.110546613,0.433062802,4.873534745,1.10E-06,0.000406966
ENSG00000131471,31.59751665,2.108173358,0.694696532,3.034668035,0.002408006,0.091073497
ENSG00000280287,39.12667568,2.088375575,0.519312085,4.021426871,5.78E-05,0.007659222
ENSG00000159167,55.98900779,2.084201791,0.739236575,2.819397552,0.004811389,0.134961235
ENSG00000141574,53.09982871,2.082343614,0.63794189,3.264158771,0.001097896,0.057244786
ENSG00000118514,30.00513423,2.063290541,0.567982765,3.632663994,0.00028051,0.023605244
ENSG00000226070,191.5514434,2.053104704,0.460196304,4.461367217,8.14E-06,0.001976865
ENSG00000060138,624.641534,2.047436043,0.448841959,4.561596799,5.08E-06,0.00139305
ENSG00000163431,194.7796316,2.046970945,0.707390723,2.893692097,0.003807413,0.122018837
ENSG00000122884,612.5335617,2.042406923,0.454491186,4.493831755,7.00E-06,0.001789849
ENSG00000112936,26.03015085,2.040070707,0.610668689,3.340716079,0.000835626,0.048080384
